aircraft_id,model,engine_count,engine_ids,operator,total_flight_cycles,status,msn,in_service_date,total_flight_hours,base_location
EC-MZDX,B737-700,2,ENG-0067;ENG-0068,SkyAlpha,18902,in-service,MSN-1034,2010-03-21,33935,ORY
EC-MDMK,B737-700,2,ENG-0069;ENG-0070,MeridianAir,27852,in-service,MSN-1035,2017-07-02,51371,FRA
F-GXYX,A321-200,2,ENG-0071;ENG-0072,BlueJet,23514,in-service,MSN-1036,2008-10-13,46127,BCN
F-GUXG,A320-200,2,ENG-0073;ENG-0074,MeridianAir,13682,in-service,MSN-1037,2015-09-08,26401,MUC
G-EDCC,B737-800,2,ENG-0075;ENG-0076,BlueJet,19652,in-service,MSN-1038,2018-10-10,34316,BCN
D-AZJG,A321-200,2,ENG-0077;ENG-0078,NordWings,5276,in-service,MSN-1039,2014-09-17,10435,LHR
EIXLV,A321-200,2,ENG-0079;ENG-0080,BlueJet,26624,in-service,MSN-1040,2012-09-11,46051,LHR
EC-MMZD,A321-200,2,ENG-0081;ENG-0082,NordWings,10159,in-service,MSN-1041,2012-03-14,19286,CDG
D-ACEF,B737-800,2,ENG-0083;ENG-0084,BlueJet,2434,in-maintenance,MSN-1042,2008-11-02,4460,ORY
F-GPSW,A320-200,2,ENG-0085;ENG-0086,NordWings,24492,in-maintenance,MSN-1043,2009-12-09,42199,ORY
D-AGBD,A320-200,2,ENG-0087;ENG-0088,MeridianAir,12861,in-service,MSN-1044,2016-09-25,22173,LGW
EIJMN,B737-700,2,ENG-0089;ENG-0090,BlueJet,4373,in-service,MSN-1045,2021-06-23,8620,FRA
EIQPE,A320-200,2,ENG-0091;ENG-0092,BlueJet,17497,in-maintenance,MSN-1046,2020-11-06,30247,BCN
G-EFKT,A320-200,2,ENG-0093;ENG-0094,SkyAlpha,14126,AOG,MSN-1047,2014-05-02,24892,ORY
G-ESTA,A320-200,2,ENG-0095;ENG-0096,MeridianAir,25968,in-service,MSN-1048,2008-04-01,44439,LHR
D-AMZZ,B737-800,2,ENG-0097;ENG-0098,MeridianAir,3183,in-maintenance,MSN-1049,2010-05-12,5487,MAD
G-EHVU,A320-200,2,ENG-0099;ENG-0100,IberLink,24562,in-service,MSN-1050,2011-08-21,45713,LGW
D-AETZ,A321-200,2,ENG-0101;ENG-0102,NordWings,20082,in-service,MSN-1051,2008-07-27,38082,MAD
EC-MTEC,B737-800,2,ENG-0103;ENG-0104,MeridianAir,15659,AOG,MSN-1052,2017-03-18,28373,BCN
F-GLAQ,B737-700,2,ENG-0105;ENG-0106,BlueJet,3829,in-service,MSN-1053,2009-02-26,7002,BCN
EC-MXYZ,B737-700,2,ENG-0107;ENG-0108,BlueJet,12765,in-service,MSN-1054,2020-10-26,21995,MAD
PH-BYUB,A320-200,2,ENG-0109;ENG-0110,MeridianAir,14482,in-service,MSN-1055,2014-02-20,24779,FRA
D-ADKR,A320-200,2,ENG-0111;ENG-0112,SkyAlpha,21014,in-service,MSN-1056,2023-07-20,40278,BCN
G-EYEL,A320-200,2,ENG-0113;ENG-0114,IberLink,3937,in-service,MSN-1057,2020-01-18,7188,AMS
F-GHJH,B737-800,2,ENG-0115;ENG-0116,IberLink,16561,AOG,MSN-1058,2008-10-22,28673,MAD
D-ATEY,B737-700,2,ENG-0117;ENG-0118,NordWings,9717,in-service,MSN-1059,2013-01-19,19043,ORY
PH-BGSD,B737-800,2,ENG-0119;ENG-0120,MeridianAir,4612,in-service,MSN-1060,2013-06-24,8808,LHR
PH-BRTF,A320-200,2,ENG-0121;ENG-0122,MeridianAir,14925,in-service,MSN-1061,2021-02-06,25772,AMS
G-ENMS,B737-700,2,ENG-0123;ENG-0124,BlueJet,9726,in-service,MSN-1062,2012-05-11,18296,MUC
EIDBQ,B737-700,2,ENG-0125;ENG-0126,NordWings,9719,in-service,MSN-1063,2013-01-02,18980,FRA
D-AJCS,B737-700,2,ENG-0127;ENG-0128,IberLink,19920,in-service,MSN-1064,2011-06-08,34406,MUC
EIDRD,A321-200,2,ENG-0129;ENG-0130,IberLink,21585,in-service,MSN-1065,2016-11-02,40112,AMS
PH-BRVR,A320-200,2,ENG-0131;ENG-0132,MeridianAir,21828,in-service,MSN-1066,2009-08-12,43158,LHR
EILWS,B737-700,2,ENG-0133;ENG-0134,SkyAlpha,14710,in-service,MSN-1067,2019-02-22,26597,AMS
PH-BFQM,B737-800,2,ENG-0135;ENG-0136,MeridianAir,24365,in-service,MSN-1068,2019-01-12,43938,CDG
D-AWWQ,B737-800,2,ENG-0137;ENG-0138,NordWings,1754,in-service,MSN-1069,2017-01-13,3198,MAD
D-AUGM,A320-200,2,ENG-0139;ENG-0140,NordWings,7718,in-maintenance,MSN-1070,2020-04-03,13952,LGW
EIVGQ,A320-200,2,ENG-0141;ENG-0142,MeridianAir,22396,in-service,MSN-1071,2023-11-04,40091,ORY
PH-BQDX,A320-200,2,ENG-0143;ENG-0144,BlueJet,24940,in-service,MSN-1072,2022-05-02,42601,LGW
G-ENNW,A320-200,2,ENG-0145;ENG-0146,BlueJet,27638,in-service,MSN-1073,2013-06-10,53195,LHR
G-ELVX,A321-200,2,ENG-0147;ENG-0148,NordWings,24888,in-service,MSN-1074,2020-05-15,49182,MAD
PH-BXTS,A321-200,2,ENG-0149;ENG-0150,BlueJet,13559,in-service,MSN-1075,2010-12-23,23541,BCN
F-GQAE,B737-700,2,ENG-0151;ENG-0152,NordWings,16302,in-service,MSN-1076,2016-01-16,32437,LGW
EC-MVXU,B737-800,2,ENG-0153;ENG-0154,NordWings,9236,AOG,MSN-1077,2014-04-28,16794,AMS
D-AFHA,B737-800,2,ENG-0155;ENG-0156,IberLink,12915,in-service,MSN-1078,2010-09-03,25626,CDG
F-GWAF,A320-200,2,ENG-0157;ENG-0158,MeridianAir,22666,in-service,MSN-1079,2009-09-15,41158,MUC
D-AMWQ,B737-800,2,ENG-0159;ENG-0160,IberLink,22082,in-maintenance,MSN-1080,2010-07-19,39196,AMS
F-GBXD,B737-700,2,ENG-0161;ENG-0162,SkyAlpha,21025,in-service,MSN-1081,2022-01-13,39642,ORY
PH-BRTE,A320-200,2,ENG-0163;ENG-0164,BlueJet,7701,in-service,MSN-1082,2020-11-21,14171,LHR
EC-MVEF,B737-700,2,ENG-0165;ENG-0166,MeridianAir,8872,in-service,MSN-1083,2013-08-15,16668,MUC
F-GPZS,B737-700,2,ENG-0167;ENG-0168,NordWings,12603,in-service,MSN-1084,2010-08-12,22337,AMS
EC-MFWS,A320-200,2,ENG-0169;ENG-0170,BlueJet,7800,in-service,MSN-1085,2013-07-28,13973,CDG
EILEY,A321-200,2,ENG-0171;ENG-0172,NordWings,23586,in-service,MSN-1086,2020-07-18,45482,BCN
EC-MJZC,A320-200,2,ENG-0173;ENG-0174,MeridianAir,24876,in-service,MSN-1087,2014-08-28,45650,ORY
D-AJJD,B737-800,2,ENG-0175;ENG-0176,SkyAlpha,24356,in-maintenance,MSN-1088,2017-06-06,42025,MAD
G-EBCD,A320-200,2,ENG-0177;ENG-0178,SkyAlpha,7790,AOG,MSN-1089,2011-02-22,15513,FRA
F-GXUE,B737-700,2,ENG-0179;ENG-0180,BlueJet,7488,in-service,MSN-1090,2023-09-14,13190,ORY
D-AKUA,A321-200,2,ENG-0181;ENG-0182,MeridianAir,11537,in-service,MSN-1091,2009-09-01,21673,MUC
G-EMAZ,A320-200,2,ENG-0183;ENG-0184,IberLink,12788,in-service,MSN-1092,2008-09-04,22857,BCN
F-GEDM,A320-200,2,ENG-0185;ENG-0186,NordWings,26050,AOG,MSN-1093,2011-03-21,49995,BCN
D-ANKW,B737-800,2,ENG-0187;ENG-0188,NordWings,12579,AOG,MSN-1094,2008-04-24,24505,MAD
EITZS,B737-800,2,ENG-0189;ENG-0190,BlueJet,16788,in-service,MSN-1095,2011-11-22,30727,AMS
PH-BHAL,B737-700,2,ENG-0191;ENG-0192,MeridianAir,11341,in-service,MSN-1096,2010-07-01,20836,MUC
G-EFDK,A320-200,2,ENG-0193;ENG-0194,BlueJet,11671,AOG,MSN-1097,2023-03-18,22356,LHR
EIXPF,A320-200,2,ENG-0195;ENG-0196,IberLink,20792,in-service,MSN-1098,2022-12-02,36243,FRA
D-ANEK,B737-700,2,ENG-0197;ENG-0198,SkyAlpha,10412,in-service,MSN-1099,2023-03-03,18002,ORY
EC-MSUP,A320-200,2,ENG-0199;ENG-0200,BlueJet,9728,in-service,MSN-1100,2009-02-11,18988,AMS
EIQMR,A320-200,2,ENG-0201;ENG-0202,BlueJet,23403,in-service,MSN-1101,2020-12-13,44664,ORY
PH-BBPD,B737-800,2,ENG-0203;ENG-0204,SkyAlpha,1665,in-service,MSN-1102,2020-02-16,2962,BCN
PH-BUYY,A320-200,2,ENG-0205;ENG-0206,BlueJet,24567,in-maintenance,MSN-1103,2017-09-01,45772,BCN
F-GVVH,B737-700,2,ENG-0207;ENG-0208,NordWings,25477,in-service,MSN-1104,2017-02-02,44343,LHR
G-ECJZ,B737-800,2,ENG-0209;ENG-0210,NordWings,10402,in-service,MSN-1105,2013-11-01,19602,MAD
EC-MTPG,B737-700,2,ENG-0211;ENG-0212,NordWings,22899,in-service,MSN-1106,2011-09-08,40621,BCN
EC-MPLZ,A321-200,2,ENG-0213;ENG-0214,MeridianAir,18517,in-service,MSN-1107,2016-11-06,32351,BCN
D-AEML,A321-200,2,ENG-0215;ENG-0216,NordWings,8374,AOG,MSN-1108,2017-08-17,16380,LGW
F-GSFS,A320-200,2,ENG-0217;ENG-0218,BlueJet,25479,in-service,MSN-1109,2009-05-28,50329,AMS
EC-MCJB,A320-200,2,ENG-0219;ENG-0220,BlueJet,3667,in-service,MSN-1110,2013-05-02,6538,MAD
PH-BFGP,B737-700,2,ENG-0221;ENG-0222,BlueJet,21372,in-service,MSN-1111,2014-12-09,36962,MUC
D-AQDZ,A321-200,2,ENG-0223;ENG-0224,SkyAlpha,14612,in-service,MSN-1112,2017-03-08,26332,LGW
G-EGGN,B737-700,2,ENG-0225;ENG-0226,BlueJet,12561,in-service,MSN-1113,2020-05-06,21522,FRA
EIAYF,B737-700,2,ENG-0227;ENG-0228,SkyAlpha,17691,in-service,MSN-1114,2011-02-01,34053,AMS
F-GGWF,B737-800,2,ENG-0229;ENG-0230,BlueJet,9585,in-service,MSN-1115,2020-03-20,16546,LHR
EC-MRNZ,A321-200,2,ENG-0231;ENG-0232,MeridianAir,5619,in-service,MSN-1116,2012-04-10,9660,LGW
EC-MDAY,A320-200,2,ENG-0233;ENG-0234,NordWings,27726,in-service,MSN-1117,2022-03-05,47352,ORY
F-GAUY,A320-200,2,ENG-0235;ENG-0236,SkyAlpha,14615,in-service,MSN-1118,2020-08-05,26667,BCN
D-AMYU,B737-800,2,ENG-0237;ENG-0238,IberLink,2467,in-service,MSN-1119,2014-05-17,4348,MAD
EC-MUGM,B737-800,2,ENG-0239;ENG-0240,IberLink,7385,in-service,MSN-1120,2013-03-04,13929,ORY
PH-BGAD,A321-200,2,ENG-0241;ENG-0242,BlueJet,7825,in-service,MSN-1121,2015-03-23,15491,MUC
PH-BFQB,A321-200,2,ENG-0243;ENG-0244,NordWings,14689,in-service,MSN-1122,2008-01-22,25928,ORY
F-GVTR,B737-800,2,ENG-0245;ENG-0246,NordWings,13528,in-service,MSN-1123,2016-11-14,25851,ORY
F-GAFL,B737-700,2,ENG-0247;ENG-0248,BlueJet,7484,in-maintenance,MSN-1124,2021-02-24,14046,AMS
